OwnershipCategory,tour_mode,purpose,survey_freq,model_freq
All Households,06: Walk to Transit,Total,79143.0,75522.0
All Households,07: PNR to Transit,Total,7258.0,6518.0
All Households,08: KNR to Transit,Total,19962.0,17418.0
All Households,09: TNC to Transit,Total,76119.0,1556.0
0: No Vehicles,01: SOV,4: Escort,0.0,4400.0
0: No Vehicles,02: Shared Ride 2,4: Escort,0.0,7281.0
0: No Vehicles,03: Shared Ride 3+,4: Escort,0.0,2635.0
0: No Vehicles,04: Walk,4: Escort,0.0,4952.0
0: No Vehicles,05: Bike,4: Escort,0.0,192.0
0: No Vehicles,06: Walk to Transit,4: Escort,0.0,37.0
0: No Vehicles,08: KNR to Transit,4: Escort,0.0,1.0
0: No Vehicles,10: Taxi,1: Work,0.0,44.0
0: No Vehicles,10: Taxi,4: Escort,0.0,329.0
0: No Vehicles,10: Taxi,5: Individual Maintenance,0.0,825.0
0: No Vehicles,10: Taxi,6: Individual Discretionary,0.0,42.0
0: No Vehicles,11: TNC Single,1: Work,0.0,91.0
0: No Vehicles,11: TNC Single,4: Escort,0.0,275.0
0: No Vehicles,11: TNC Single,5: Individual Maintenance,0.0,649.0
0: No Vehicles,11: TNC Single,6: Individual Discretionary,0.0,28.0
0: No Vehicles,12: TNC Shared,1: Work,0.0,727.0
0: No Vehicles,12: TNC Shared,4: Escort,0.0,2041.0
0: No Vehicles,12: TNC Shared,5: Individual Maintenance,0.0,3694.0
0: No Vehicles,12: TNC Shared,6: Individual Discretionary,0.0,193.0
0: No Vehicles,13: School Bus,3: School,0.0,11585.0
1: 1+ Veh/Adults > Veh,01: SOV,4: Escort,0.0,61992.0
1: 1+ Veh/Adults > Veh,02: Shared Ride 2,4: Escort,0.0,116347.0
1: 1+ Veh/Adults > Veh,03: Shared Ride 3+,4: Escort,0.0,111091.0
1: 1+ Veh/Adults > Veh,04: Walk,4: Escort,0.0,19827.0
1: 1+ Veh/Adults > Veh,05: Bike,4: Escort,0.0,114.0
1: 1+ Veh/Adults > Veh,06: Walk to Transit,4: Escort,0.0,32.0
1: 1+ Veh/Adults > Veh,07: PNR to Transit,4: Escort,0.0,2.0
1: 1+ Veh/Adults > Veh,08: KNR to Transit,4: Escort,0.0,5.0
1: 1+ Veh/Adults > Veh,10: Taxi,1: Work,0.0,129.0
1: 1+ Veh/Adults > Veh,10: Taxi,4: Escort,0.0,28.0
1: 1+ Veh/Adults > Veh,10: Taxi,5: Individual Maintenance,0.0,22.0
